date,hits,keyword,geo,time,gprop,category
2019-12-08T00:00:00Z,59,Google,US,today+5-y,web,0
2019-12-15T00:00:00Z,55,Google,US,today+5-y,web,0
2019-12-22T00:00:00Z,35,Google,US,today+5-y,web,0
2019-12-29T00:00:00Z,36,Google,US,today+5-y,web,0
2020-01-05T00:00:00Z,52,Google,US,today+5-y,web,0
2020-01-12T00:00:00Z,55,Google,US,today+5-y,web,0
2020-01-19T00:00:00Z,53,Google,US,today+5-y,web,0
2020-01-26T00:00:00Z,58,Google,US,today+5-y,web,0
2020-02-02T00:00:00Z,58,Google,US,today+5-y,web,0
2020-02-09T00:00:00Z,58,Google,US,today+5-y,web,0
2020-02-16T00:00:00Z,53,Google,US,today+5-y,web,0
2020-02-23T00:00:00Z,58,Google,US,today+5-y,web,0
2020-03-01T00:00:00Z,59,Google,US,today+5-y,web,0
2020-03-08T00:00:00Z,57,Google,US,today+5-y,web,0
2020-03-15T00:00:00Z,57,Google,US,today+5-y,web,0
2020-03-22T00:00:00Z,63,Google,US,today+5-y,web,0
2020-03-29T00:00:00Z,69,Google,US,today+5-y,web,0
2020-04-05T00:00:00Z,65,Google,US,today+5-y,web,0
2020-04-12T00:00:00Z,64,Google,US,today+5-y,web,0
2020-04-19T00:00:00Z,68,Google,US,today+5-y,web,0
2020-04-26T00:00:00Z,100,Google,US,today+5-y,web,0
2020-05-03T00:00:00Z,93,Google,US,today+5-y,web,0
2020-05-10T00:00:00Z,59,Google,US,today+5-y,web,0
2020-05-17T00:00:00Z,55,Google,US,today+5-y,web,0
2020-05-24T00:00:00Z,49,Google,US,today+5-y,web,0
2020-05-31T00:00:00Z,45,Google,US,today+5-y,web,0
2020-06-07T00:00:00Z,43,Google,US,today+5-y,web,0
2020-06-14T00:00:00Z,39,Google,US,today+5-y,web,0
2020-06-21T00:00:00Z,37,Google,US,today+5-y,web,0
2020-06-28T00:00:00Z,35,Google,US,today+5-y,web,0
2020-07-05T00:00:00Z,37,Google,US,today+5-y,web,0
2020-07-12T00:00:00Z,37,Google,US,today+5-y,web,0
2020-07-19T00:00:00Z,35,Google,US,today+5-y,web,0
2020-07-26T00:00:00Z,38,Google,US,today+5-y,web,0
2020-08-02T00:00:00Z,39,Google,US,today+5-y,web,0
2020-08-09T00:00:00Z,47,Google,US,today+5-y,web,0
2020-08-16T00:00:00Z,59,Google,US,today+5-y,web,0
2020-08-23T00:00:00Z,66,Google,US,today+5-y,web,0
2020-08-30T00:00:00Z,70,Google,US,today+5-y,web,0
2020-09-06T00:00:00Z,71,Google,US,today+5-y,web,0
2020-09-13T00:00:00Z,77,Google,US,today+5-y,web,0
2020-09-20T00:00:00Z,79,Google,US,today+5-y,web,0
2020-09-27T00:00:00Z,64,Google,US,today+5-y,web,0
2020-10-04T00:00:00Z,58,Google,US,today+5-y,web,0
2020-10-11T00:00:00Z,43,Google,US,today+5-y,web,0
2020-10-18T00:00:00Z,44,Google,US,today+5-y,web,0
2020-10-25T00:00:00Z,44,Google,US,today+5-y,web,0
2020-11-01T00:00:00Z,38,Google,US,today+5-y,web,0
2020-11-08T00:00:00Z,41,Google,US,today+5-y,web,0
2020-11-15T00:00:00Z,43,Google,US,today+5-y,web,0
2020-11-22T00:00:00Z,34,Google,US,today+5-y,web,0
2020-11-29T00:00:00Z,42,Google,US,today+5-y,web,0
2020-12-06T00:00:00Z,42,Google,US,today+5-y,web,0
2020-12-13T00:00:00Z,41,Google,US,today+5-y,web,0
2020-12-20T00:00:00Z,32,Google,US,today+5-y,web,0
2020-12-27T00:00:00Z,29,Google,US,today+5-y,web,0
2021-01-03T00:00:00Z,37,Google,US,today+5-y,web,0
2021-01-10T00:00:00Z,39,Google,US,today+5-y,web,0
2021-01-17T00:00:00Z,38,Google,US,today+5-y,web,0
2021-01-24T00:00:00Z,39,Google,US,today+5-y,web,0
2021-01-31T00:00:00Z,41,Google,US,today+5-y,web,0
2021-02-07T00:00:00Z,39,Google,US,today+5-y,web,0
2021-02-14T00:00:00Z,36,Google,US,today+5-y,web,0
2021-02-21T00:00:00Z,41,Google,US,today+5-y,web,0
2021-02-28T00:00:00Z,40,Google,US,today+5-y,web,0
2021-03-07T00:00:00Z,40,Google,US,today+5-y,web,0
2021-03-14T00:00:00Z,37,Google,US,today+5-y,web,0
2021-03-21T00:00:00Z,38,Google,US,today+5-y,web,0
2021-03-28T00:00:00Z,35,Google,US,today+5-y,web,0
2021-04-04T00:00:00Z,38,Google,US,today+5-y,web,0
2021-04-11T00:00:00Z,38,Google,US,today+5-y,web,0
2021-04-18T00:00:00Z,38,Google,US,today+5-y,web,0
2021-04-25T00:00:00Z,39,Google,US,today+5-y,web,0
2021-05-02T00:00:00Z,39,Google,US,today+5-y,web,0
2021-05-09T00:00:00Z,39,Google,US,today+5-y,web,0
2021-05-16T00:00:00Z,36,Google,US,today+5-y,web,0
2021-05-23T00:00:00Z,36,Google,US,today+5-y,web,0
2021-05-30T00:00:00Z,33,Google,US,today+5-y,web,0
2021-06-06T00:00:00Z,33,Google,US,today+5-y,web,0
2021-06-13T00:00:00Z,35,Google,US,today+5-y,web,0
2021-06-20T00:00:00Z,31,Google,US,today+5-y,web,0
2021-06-27T00:00:00Z,31,Google,US,today+5-y,web,0
2021-07-04T00:00:00Z,30,Google,US,today+5-y,web,0
2021-07-11T00:00:00Z,33,Google,US,today+5-y,web,0
2021-07-18T00:00:00Z,31,Google,US,today+5-y,web,0
2021-07-25T00:00:00Z,30,Google,US,today+5-y,web,0
2021-08-01T00:00:00Z,30,Google,US,today+5-y,web,0
2021-08-08T00:00:00Z,29,Google,US,today+5-y,web,0
2021-08-15T00:00:00Z,32,Google,US,today+5-y,web,0
2021-08-22T00:00:00Z,35,Google,US,today+5-y,web,0
2021-08-29T00:00:00Z,36,Google,US,today+5-y,web,0
2021-09-05T00:00:00Z,35,Google,US,today+5-y,web,0
2021-09-12T00:00:00Z,37,Google,US,today+5-y,web,0
2021-09-19T00:00:00Z,38,Google,US,today+5-y,web,0
2021-09-26T00:00:00Z,41,Google,US,today+5-y,web,0
2021-10-03T00:00:00Z,37,Google,US,today+5-y,web,0
2021-10-10T00:00:00Z,37,Google,US,today+5-y,web,0
2021-10-17T00:00:00Z,38,Google,US,today+5-y,web,0
2021-10-24T00:00:00Z,38,Google,US,today+5-y,web,0
2021-10-31T00:00:00Z,37,Google,US,today+5-y,web,0
2021-11-07T00:00:00Z,38,Google,US,today+5-y,web,0
2021-11-14T00:00:00Z,40,Google,US,today+5-y,web,0
2021-11-21T00:00:00Z,31,Google,US,today+5-y,web,0
2021-11-28T00:00:00Z,39,Google,US,today+5-y,web,0
2021-12-05T00:00:00Z,39,Google,US,today+5-y,web,0
2021-12-12T00:00:00Z,37,Google,US,today+5-y,web,0
2021-12-19T00:00:00Z,31,Google,US,today+5-y,web,0
2021-12-26T00:00:00Z,28,Google,US,today+5-y,web,0
2022-01-02T00:00:00Z,35,Google,US,today+5-y,web,0
2022-01-09T00:00:00Z,38,Google,US,today+5-y,web,0
2022-01-16T00:00:00Z,36,Google,US,today+5-y,web,0
2022-01-23T00:00:00Z,39,Google,US,today+5-y,web,0
2022-01-30T00:00:00Z,39,Google,US,today+5-y,web,0
2022-02-06T00:00:00Z,39,Google,US,today+5-y,web,0
2022-02-13T00:00:00Z,38,Google,US,today+5-y,web,0
2022-02-20T00:00:00Z,38,Google,US,today+5-y,web,0
2022-02-27T00:00:00Z,39,Google,US,today+5-y,web,0
2022-03-06T00:00:00Z,38,Google,US,today+5-y,web,0
2022-03-13T00:00:00Z,37,Google,US,today+5-y,web,0
2022-03-20T00:00:00Z,38,Google,US,today+5-y,web,0
2022-03-27T00:00:00Z,37,Google,US,today+5-y,web,0
2022-04-03T00:00:00Z,37,Google,US,today+5-y,web,0
2022-04-10T00:00:00Z,38,Google,US,today+5-y,web,0
2017-04-16T00:00:00Z,75,Facebook,US,today+5-y,web,0
2017-04-23T00:00:00Z,70,Facebook,US,today+5-y,web,0
2017-04-30T00:00:00Z,71,Facebook,US,today+5-y,web,0
2017-05-07T00:00:00Z,72,Facebook,US,today+5-y,web,0
2017-05-14T00:00:00Z,73,Facebook,US,today+5-y,web,0
2017-05-21T00:00:00Z,73,Facebook,US,today+5-y,web,0
2017-05-28T00:00:00Z,76,Facebook,US,today+5-y,web,0
2017-06-04T00:00:00Z,74,Facebook,US,today+5-y,web,0
2017-06-11T00:00:00Z,72,Facebook,US,today+5-y,web,0
2017-06-18T00:00:00Z,73,Facebook,US,today+5-y,web,0
2017-06-25T00:00:00Z,72,Facebook,US,today+5-y,web,0
2017-07-02T00:00:00Z,75,Facebook,US,today+5-y,web,0
2017-07-09T00:00:00Z,74,Facebook,US,today+5-y,web,0
2017-07-16T00:00:00Z,70,Facebook,US,today+5-y,web,0
2017-07-23T00:00:00Z,71,Facebook,US,today+5-y,web,0
2017-07-30T00:00:00Z,73,Facebook,US,today+5-y,web,0
2017-08-06T00:00:00Z,73,Facebook,US,today+5-y,web,0
2017-08-13T00:00:00Z,71,Facebook,US,today+5-y,web,0
2017-08-20T00:00:00Z,72,Facebook,US,today+5-y,web,0
2017-08-27T00:00:00Z,69,Facebook,US,today+5-y,web,0
2017-09-03T00:00:00Z,66,Facebook,US,today+5-y,web,0
2017-09-10T00:00:00Z,66,Facebook,US,today+5-y,web,0
2017-09-17T00:00:00Z,65,Facebook,US,today+5-y,web,0
2017-09-24T00:00:00Z,67,Facebook,US,today+5-y,web,0
2017-10-01T00:00:00Z,65,Facebook,US,today+5-y,web,0
2017-10-08T00:00:00Z,64,Facebook,US,today+5-y,web,0
2017-10-15T00:00:00Z,63,Facebook,US,today+5-y,web,0
2017-10-22T00:00:00Z,62,Facebook,US,today+5-y,web,0
2017-10-29T00:00:00Z,61,Facebook,US,today+5-y,web,0
2017-11-05T00:00:00Z,60,Facebook,US,today+5-y,web,0
2017-11-12T00:00:00Z,59,Facebook,US,today+5-y,web,0
2017-11-19T00:00:00Z,61,Facebook,US,today+5-y,web,0
2017-11-26T00:00:00Z,60,Facebook,US,today+5-y,web,0
2017-12-03T00:00:00Z,57,Facebook,US,today+5-y,web,0
2017-12-10T00:00:00Z,57,Facebook,US,today+5-y,web,0
2017-12-17T00:00:00Z,59,Facebook,US,today+5-y,web,0
2017-12-24T00:00:00Z,65,Facebook,US,today+5-y,web,0
2017-12-31T00:00:00Z,61,Facebook,US,today+5-y,web,0
2018-01-07T00:00:00Z,58,Facebook,US,today+5-y,web,0
2018-01-14T00:00:00Z,60,Facebook,US,today+5-y,web,0
2018-01-21T00:00:00Z,57,Facebook,US,today+5-y,web,0
2018-01-28T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-02-04T00:00:00Z,57,Facebook,US,today+5-y,web,0
2018-02-11T00:00:00Z,57,Facebook,US,today+5-y,web,0
2018-02-18T00:00:00Z,54,Facebook,US,today+5-y,web,0
2018-02-25T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-03-04T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-03-11T00:00:00Z,55,Facebook,US,today+5-y,web,0
2018-03-18T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-03-25T00:00:00Z,55,Facebook,US,today+5-y,web,0
2018-04-01T00:00:00Z,57,Facebook,US,today+5-y,web,0
2018-04-08T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-04-15T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-04-22T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-04-29T00:00:00Z,51,Facebook,US,today+5-y,web,0
2018-05-06T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-05-13T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-05-20T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-05-27T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-06-03T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-06-10T00:00:00Z,54,Facebook,US,today+5-y,web,0
2018-06-17T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-06-24T00:00:00Z,55,Facebook,US,today+5-y,web,0
2018-07-01T00:00:00Z,54,Facebook,US,today+5-y,web,0
2018-07-08T00:00:00Z,56,Facebook,US,today+5-y,web,0
2018-07-15T00:00:00Z,51,Facebook,US,today+5-y,web,0
2018-07-22T00:00:00Z,55,Facebook,US,today+5-y,web,0
2018-07-29T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-08-05T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-08-12T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-08-19T00:00:00Z,53,Facebook,US,today+5-y,web,0
2018-08-26T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-09-02T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-09-09T00:00:00Z,51,Facebook,US,today+5-y,web,0
2018-09-16T00:00:00Z,52,Facebook,US,today+5-y,web,0
2018-09-23T00:00:00Z,51,Facebook,US,today+5-y,web,0
2018-09-30T00:00:00Z,50,Facebook,US,today+5-y,web,0
2018-10-07T00:00:00Z,49,Facebook,US,today+5-y,web,0
2018-10-14T00:00:00Z,47,Facebook,US,today+5-y,web,0
